================================================================================
COMPLETE WORD-TO-PHONEME MAPPING
================================================================================
Total mapped words: 1135

'd                   -> /W UH D/
sure                 -> /SH UH R/
surely               -> /SH UH R L IY/
system               -> /S IH S T AH M/
table                -> /T EY B AH L/
take                 -> /T EY K/
taken                -> /T EY K AH N/
takes                -> /T EY K S/
taking               -> /T EY K IH NG/
talk                 -> /T AO K/
talked               -> /T AO K T/
talking              -> /T AO K IH NG/
tape                 -> /T EY P/
tax                  -> /T AE K S/
tea                  -> /T IY/
teacher              -> /T IY CH ER/
teachers             -> /T IY CH ER Z/
team                 -> /T IY M/
telephone            -> /T EH L AH F OW N/
television           -> /T EH L AH V IH ZH AH N/
tell                 -> /T EH L/
telling              -> /T EH L IH NG/
ten                  -> /T EH N/
tend                 -> /T EH N D/
term                 -> /T ER M/
terms                -> /T ER M Z/
terrible             -> /T EH R AH B AH L/
test                 -> /T EH S T/
than                 -> /DH AE N/
thank                -> /TH AE NG K/
thanks               -> /TH AE NG K S/
that                 -> /DH AE T/
the                  -> /DH AH/
their                -> /DH EH R/
them                 -> /DH EH M/
themselves           -> /DH EH M S EH L V Z/
then                 -> /DH EH N/
there                -> /DH EH R/
therefore            -> /DH EH R F AO R/
these                -> /DH IY Z/
they                 -> /DH EY/
thing                -> /TH IH NG/
things               -> /TH IH NG Z/
think                -> /TH IH NG K/
thinking             -> /TH IH NG K IH NG/
thinks               -> /TH IH NG K S/
third                -> /TH ER D/
thirteen             -> /TH ER T IY N/
thirty               -> /TH ER D IY/
this                 -> /DH IH S/
those                -> /DH OW Z/
though               -> /DH OW/
thought              -> /TH AO T/
thousand             -> /TH AW Z AH N D/
three                -> /TH R IY/
through              -> /TH R UW/
throw                -> /TH R OW/
Thursday             -> /TH ER Z D EY/
till                 -> /T IH L/
time                 -> /T AY M/
times                -> /T AY M Z/
to                   -> /T UW/
today                -> /T AH D EY/
together             -> /T AH G EH DH ER/
told                 -> /T OW L D/
tomorrow             -> /T AH M AA R OW/
tonight              -> /T AH N AY T/
Tony                 -> /T OW N IY/
too                  -> /T UW/
took                 -> /T UH K/
top                  -> /T AA P/
totally              -> /T OW T AH L IY/
towards              -> /T AH W AO R D Z/
town                 -> /T AW N/
trade                -> /T R EY D/
traffic              -> /T R AE F IH K/
train                -> /T R EY N/
training             -> /T R EY N IH NG/
transport            -> /T R AE N S P AO R T/
tried                -> /T R AY D/
trouble              -> /T R AH B AH L/
true                 -> /T R UW/
try                  -> /T R AY/
trying               -> /T R AY IH NG/
Tuesday              -> /T UW Z D IY/
turn                 -> /T ER N/
turned               -> /T ER N D/
twelve               -> /T W EH L V/
twenty               -> /T W EH N T IY/
twice                -> /T W AY S/
two                  -> /T UW/
type                 -> /T AY P/
under                -> /AH N D ER/
understand           -> /AH N D ER S T AE N D/
union                -> /Y UW N Y AH N/
united               -> /Y UW N AY T AH D/
university           -> /Y UW N AH V ER S AH T IY/
unless               -> /AH N L EH S/
until                -> /AH N T IH L/
up                   -> /AH P/
upon                 -> /AH P AA N/
upstairs             -> /AH P S T EH R Z/
us                   -> /AH S/
use                  -> /Y UW S/
used                 -> /Y UW Z D/
useful               -> /Y UW S F AH L/
using                -> /Y UW Z IH NG/
usually              -> /Y UW ZH AH W AH L IY/
value                -> /V AE L Y UW/
various              -> /V EH R IY AH S/
very                 -> /V EH R IY/
video                -> /V IH D IY OW/
view                 -> /V Y UW/
village              -> /V IH L AH JH/
wait                 -> /W EY T/
waiting              -> /W EY T IH NG/
walk                 -> /W AO K/
walked               -> /W AO K T/
walking              -> /W AO K IH NG/
wall                 -> /W AO L/
want                 -> /W AA N T/
wanted               -> /W AA N T AH D/
wants                -> /W AA N T S/
war                  -> /W AO R/
was                  -> /W AA Z/
watch                -> /W AA CH/
watching             -> /W AA CH IH NG/
water                -> /W AO T ER/
way                  -> /W EY/
ways                 -> /W EY Z/
we                   -> /W IY/
wear                 -> /W EH R/
weather              -> /W EH DH ER/
Wednesday            -> /W EH N Z D IY/
wee                  -> /W IY/
week                 -> /W IY K/
weekend              -> /W IY K EH N D/
weeks                -> /W IY K S/
weight               -> /W EY T/
well                 -> /W EH L/
went                 -> /W EH N T/
were                 -> /W ER/
west                 -> /W EH S T/
what                 -> /W AH T/
whatever             -> /W AH T EH V ER/
when                 -> /W EH N/
where                -> /W EH R/
whereas              -> /W EH R AE Z/
whether              -> /W EH DH ER/
which                -> /W IH CH/
while                -> /W AY L/
white                -> /W AY T/
who                  -> /HH UW/
whole                -> /HH OW L/
why                  -> /W AY/
wife                 -> /W AY F/
will                 -> /W IH L/
win                  -> /W IH N/
window               -> /W IH N D OW/
wish                 -> /W IH SH/
with                 -> /W IH DH/
within               -> /W IH DH IH N/
without              -> /W IH TH AW T/
woman                -> /W UH M AH N/
women                -> /W IH M AH N/
won                  -> /W AH N/
wonder               -> /W AH N D ER/
wonderful            -> /W AH N D ER F AH L/
word                 -> /W ER D/
words                -> /W ER D Z/
work                 -> /W ER K/
worked               -> /W ER K T/
workers              -> /W ER K ER Z/
working              -> /W ER K IH NG/
works                -> /W ER K S/
world                -> /W ER L D/
worry                -> /W ER IY/
worse                -> /W ER S/
worth                -> /W ER TH/
would                -> /W UH D/
write                -> /R AY T/
writing              -> /R AY T IH NG/
written              -> /R IH T AH N/
wrong                -> /R AO NG/
wrote                -> /R OW T/
ya                   -> /Y AA/
yeah                 -> /Y AE/
year                 -> /Y IH R/
years                -> /Y IH R Z/
yep                  -> /Y EH P/
yes                  -> /Y EH S/
yesterday            -> /Y EH S T ER D EY/
yet                  -> /Y EH T/
yo                   -> /Y OW/
York                 -> /Y AO R K/
Yorkshire            -> /Y AO R K SH ER/
you                  -> /Y UW/
young                -> /Y AH NG/
your                 -> /Y AO R/
yours                -> /Y UH R Z/
yourself             -> /Y ER S EH L F/
